to	from	long.x	lat.x	long.y	lat.y	col
Berlin	Aachen	13.40154862	52.52181866	6.1	50.7667	4
Berlin	Aarhus	13.40154862	52.52181866	10.2	56.16	5
Berlin	AbuDhabi	13.40154862	52.52181866	54.36659338	24.46668357	1
Berlin	Aix-En-Provence	13.40154862	52.52181866	5.449992634	43.51999086	1
Berlin	Amsterdam	13.40154862	52.52181866	4.916640176	52.34996869	4
Berlin	Amsterdam	13.40154862	52.52181866	4.916640176	52.34996869	1
Berlin	Aria	13.40154862	52.52181866	-117.75	33.64	1
Berlin	Austin	13.40154862	52.52181866	-97.74277836	30.26694969	1
Berlin	Barcelona	13.40154862	52.52181866	2.183370319	41.38329958	2
Berlin	Bayreuth	13.40154862	52.52181866	11.5783	49.9481	1
Berlin	Beijing	13.40154862	52.52181866	116.3882857	39.92889223	1
Berlin	Belzig	13.40154862	52.52181866	12.59363	52.14304	1
Berlin	Bielefeld	13.40154862	52.52181866	8.530011351	52.02998822	3
Berlin	Bochum	13.40154862	52.52181866	7.19654	51.46785	2
Berlin	Bochung	13.40154862	52.52181866	7.21	51.48	1
Berlin	Bologna	13.40154862	52.52181866	11.34002071	44.50042198	1
Berlin	Bonn	13.40154862	52.52181866	7.080022337	50.72045575	10
Berlin	Bordeaux	13.40154862	52.52181866	-0.595013063	44.85001304	1
Berlin	Boston	13.40154862	52.52181866	-71.07001367	42.32996014	5
Berlin	Boston	13.40154862	52.52181866	-71.07001367	42.32996014	1
Berlin	Bozen	13.40154862	52.52181866	11.35	46.49	3
Berlin	Braga	13.40154862	52.52181866	-8.421331219	41.55499453	1
Berlin	Bremen	13.40154862	52.52181866	8.80002071	53.08000165	1
Berlin	Breslau	13.40154862	52.52181866	17.038	51.108	2
Berlin	Brighton	13.40154862	52.52181866	-0.169974407	50.83034568	1
Berlin	Brodten	13.40154862	52.52181866	10.85	53.98	1
Berlin	Brussels	13.40154862	52.52181866	4.333316608	50.83331708	3
Berlin	Budapest	13.40154862	52.52181866	19.08332068	47.50000633	5
Berlin	Cambridge	13.40154862	52.52181866	0.116623086	52.20039125	3
Berlin	Cargèse	13.40154862	52.52181866	8.59	42.13	1
Berlin	Chicago	13.40154862	52.52181866	-87.75005497	41.82999066	4
Berlin	China	13.40154862	52.52181866	104.19	35.86	2
Berlin	Cleveland	13.40154862	52.52181866	-81.69499821	41.4699868	1
Berlin	Constance	13.40154862	52.52181866	9.17	47.67	1
Berlin	Copenhagen	13.40154862	52.52181866	12.56	55.67	18
Berlin	DenHaag	13.40154862	52.52181866	4.03	52.07	1
Berlin	Dortmund	13.40154862	52.52181866	7.450025593	51.52996706	5
Berlin	Dresden	13.40154862	52.52181866	13.75000281	51.04997052	5
Berlin	Drübeck	13.40154862	52.52181866	10.71	51.85	10
Berlin	Dubrovnik	13.40154862	52.52181866	18.09139156	42.66094769	1
Berlin	Duisburg	13.40154862	52.52181866	6.750016641	51.42997316	4
Berlin	Durham	13.40154862	52.52181866	-78.91999964	35.99995892	1
Berlin	Düsseldorf	13.40154862	52.52181866	6.779988972	51.22037355	1
Berlin	Edinburg	13.40154862	52.52181866	-98.1599622	26.30318646	3
Berlin	Eindhoven	13.40154862	52.52181866	5.50001542	51.42997316	1
Berlin	Eltville	13.40154862	52.52181866	8.1166667	50.0333333	1
Berlin	Erice	13.40154862	52.52181866	12.58	38.03	1
Berlin	Essen	13.40154862	52.52181866	7.016615355	51.44999778	7
Berlin	Florence	13.40154862	52.52181866	11.25000036	43.78000083	3
Berlin	Florenz	13.40154862	52.52181866	11.25	43.76	1
Berlin	Frankfurt(Oder)	13.40154862	52.52181866	14.54015	52.34399	1
Berlin	FrankfurtamMain	13.40154862	52.52181866	8.68333	50.1167	18
Berlin	Freiberg	13.40154862	52.52181866	9.2049	48.8363	1
Berlin	Freiburg	13.40154862	52.52181866	7.869948281	48.00041506	5
Berlin	Frejus	13.40154862	52.52181866	6.73	43.43	2
Berlin	Fürstenried	13.40154862	52.52181866	11.48	48.09	1
Berlin	Gerzensee	13.40154862	52.52181866	7.54	46.83	1
Berlin	Glasgow	13.40154862	52.52181866	-4.250707236	55.87440472	3
Berlin	Göteborg	13.40154862	52.52181866	12.0000321	57.75000083	1
Berlin	Gothenburg	13.40154862	52.52181866	11.97	57.7	1
Berlin	Göttingen	13.40154862	52.52181866	9.920004027	51.52043276	9
Berlin	Graz	13.40154862	52.52181866	15.41000484	47.0777582	2
