to	from	long.x	lat.x	long.y	lat.y	col
Berlin	Aachen	13.38	52.52	6.10	50.77	1
Berlin	Aberdeen	13.38	52.52	-2.08	57.17	1
Berlin	Aceh	13.38	52.52	96.75	4.70	1
Berlin	Adelaide	13.38	52.52	138.60	-34.93	1
Berlin	Amsterdam	13.38	52.52	4.92	52.35	5
Berlin	Ankara	13.38	52.52	32.86	39.93	1
Berlin	AnnArbor	13.38	52.52	-83.72	42.30	1
Berlin	Augsburg	13.38	52.52	10.90	48.35	2
Berlin	Austin	13.38	52.52	-97.74	30.27	1
Berlin	Barcelona	13.38	52.52	2.18	41.38	3
Berlin	Bayreuth	13.38	52.52	11.58	49.95	3
Berlin	Berkeley	13.38	52.52	-122.27	37.87	4
Berlin	Bloomington	13.38	52.52	-88.99	40.48	1
Berlin	Bochum	13.38	52.52	7.20	51.47	1
Berlin	Bonn	13.38	52.52	7.08	50.72	5
Berlin	Breslau	13.38	52.52	17.04	51.11	2
Berlin	Brisbane	13.38	52.52	153.04	-27.46	2
Berlin	Bristol	13.38	52.52	-2.58	51.45	1
Berlin	Bucharest	13.38	52.52	26.10	44.43	5
Berlin	Bunky?	13.38	52.52	139.75	35.71	1
Berlin	Busan	13.38	52.52	129.01	35.10	1
Berlin	Bydgoszcz	13.38	52.52	18.01	53.12	1
Berlin	Cambridge	13.38	52.52	0.12	52.20	6
Berlin	Canberra	13.38	52.52	149.13	-35.28	1
Berlin	Canterbury	13.38	52.52	1.08	51.28	1
Berlin	Chemnitz	13.38	52.52	12.92	50.83	1
Berlin	Chengdu	13.38	52.52	104.07	30.67	1
Berlin	Chicago	13.38	52.52	-87.75	41.83	1
Berlin	Coimbra	13.38	52.52	-8.42	40.20	2
Berlin	CollegeStation	13.38	52.52	-96.33	30.62	3
Berlin	Cologne	13.38	52.52	6.95	50.93	10
Berlin	Daegu	13.38	52.52	128.61	35.87	3
Berlin	Darmstadt	13.38	52.52	0.00	0.00	4
Berlin	Dortmund	13.38	52.52	7.45	51.53	20
Berlin	Dresden	13.38	52.52	13.75	51.05	2
Berlin	Dublin	13.38	52.52	-6.25	53.33	1
Berlin	Duisburg-Essen	13.38	52.52	7.01	51.46	2
Berlin	Dunedin	13.38	52.52	170.48	-45.88	1
Berlin	Eberswalde	13.38	52.52	13.79	52.84	1
Berlin	Erlangen	13.38	52.52	11.01	49.59	1
Berlin	Essex	13.38	52.52	0.46	51.73	1
Berlin	Evanston	13.38	52.52	-87.70	42.05	2
Berlin	Florence	13.38	52.52	11.25	43.78	4
Berlin	FortCollins	13.38	52.52	-105.06	40.56	1
Berlin	Frankfurt	13.38	52.52	8.68	50.10	3
Berlin	Frankfurt(Oder)	13.38	52.52	14.54	52.34	15
Berlin	FrankfurtamMain	13.38	52.52	8.68	50.12	3
Berlin	FreiburgimBreisgau	13.38	52.52	7.85	47.99	1
Berlin	Friedrichshafen	13.38	52.52	9.48	47.65	1
Berlin	Genf	13.38	52.52	6.14	46.20	1
Berlin	Giesen	13.38	52.52	9.90	52.20	2
Berlin	Göttingen	13.38	52.52	9.92	51.52	3
Berlin	Graz	13.38	52.52	15.41	47.08	1
Berlin	Grenoble	13.38	52.52	5.72	45.18	1
Berlin	Guangdong	13.38	52.52	113.27	23.13	2
Berlin	Halle	13.38	52.52	11.97	51.50	2
Berlin	Hamburg	13.38	52.52	10.00	53.55	2
Berlin	Hannover	13.38	52.52	9.72	52.37	2
Berlin	Heidelberg	13.38	52.52	8.70	49.42	1
Berlin	Helsinki	13.38	52.52	24.93	60.18	1
Berlin	HsinchuCity	13.38	52.52	120.96	24.81	7
Berlin	Hubei	13.38	52.52	114.34	30.54	1
Berlin	Istanbul	13.38	52.52	29.01	41.10	1
Berlin	Jerusalem	13.38	52.52	35.21	31.78	2
Berlin	Jiangsu	13.38	52.52	118.76	32.06	1
Berlin	Jönköping	13.38	52.52	14.17	57.77	1
Berlin	Kaiserslautern	13.38	52.52	7.75	49.45	1
Berlin	KaohsiungCity	13.38	52.52	120.30	22.62	4
Berlin	Karlsruhe	13.38	52.52	8.40	49.00	1
Berlin	Kiel	13.38	52.52	10.13	54.33	3
Berlin	Kingston	13.38	52.52	147.31	-42.99	1
Berlin	Copenhagen	13.38	52.52	12.56	55.67	1
Berlin	Kyoto	13.38	52.52	135.75	35.03	1
Berlin	Lancaster	13.38	52.52	-82.61	39.72	5
Berlin	Lausanne	13.38	52.52	6.65	46.53	1
Berlin	Leiden	13.38	52.52	4.49	52.16	1
Berlin	Leipzig	13.38	52.52	12.41	51.34	4
Berlin	Ljubljana	13.38	52.52	14.51	46.06	2
Berlin	Logan	13.38	52.52	-111.83	41.74	1
Berlin	London	13.38	52.52	-81.25	42.97	7
Berlin	LosAngeles	13.38	52.52	-72.36	-37.46	5
Berlin	Louvain	13.38	52.52	4.70	50.88	1
Berlin	Lüneburg	13.38	52.52	10.41	53.25	1
Berlin	Madrid	13.38	52.52	-3.68	40.40	2
Berlin	Magdeburg	13.38	52.52	11.62	52.13	3
Berlin	Mainz	13.38	52.52	8.27	49.98	2
Berlin	Malakoff	13.38	52.52	2.29	48.81	3
Berlin	Manchester	13.38	52.52	-2.25	53.50	1
Berlin	Mannheim	13.38	52.52	8.47	49.50	5
Berlin	Marburg	13.38	52.52	8.77	50.82	2
Berlin	Maribor	13.38	52.52	15.65	46.54	1
Berlin	Milan	13.38	52.52	9.21	45.47	3
