DP_Titel;DP_Authors;DP_FileName;DP_YearPublished;DP_Quantlet;DP_DateOfIssue;DP_ProjectsName;JEL
Solving DSGE Portfolio Choice Models with Asymmetric Countries;Grzegorz R. Dlugoszek;SFB649DP2016-009.pdf;2016;;29.02.2016;C7;E44, F41, G11
Downside risk and stock returns: An empirical analysis of the long-run and short-run dynamics from the G-7 Countries;Cathy Yi-Hsuan Chen, Thomas C. Chiang, Wolfgang Karl Härdle;SFB649DP2016-001.pdf;2016;;07.01.2016;B1;G11, G12, G15, C24, F30
 Uncertainty and Employment Dynamics in the Euro Area and the US; Aleksei Netsunajev,  Katharina Glass;SFB649DP2016-002.pdf;2016;;13.01.2016;C15; D80, C32, C11, E24 
College Admissions with Entrance Exams: Centralized versus Decentralized;Isa E. Hafalir, Rustamdjan Hakimov, Dorothea Kübler, Morimitsu Kurino;SFB649DP2016-003.pdf;2016;;19.01.2016;A6;"C78; D47; D78; I21"
Leveraged ETF options implied volatility paradox: a statistical study;Wolfgang Karl Härdle, Sergey Nasekin, Zhiwu Hong;SFB649DP2016-004.pdf;2016;https://github.com/QuantLet/LETF-Moneyness;02.02.2016;B1;C00, C14, C50, C58
The German Labor Market Miracle, 2003 -2015: An Assessment;Michael C. Burda;SFB649DP2016-005.pdf;2016;;16.02.2016;C7;E24, J21
What Derives the Bond Portfolio Value-at-Risk: Information Roles of Macroeconomic and Financial Stress Factors;Anthony H. Tu, Cathy Yi-Hsuan Chen;SFB649DP2016-006.pdf;2016;;18.02.2016;B1;G11, G16
Budget-neutral fiscal rules targeting inflation differentials;Maren Brede;SFB649DP2016-007.pdf;2016;;22.02.2016;C7;E62, E63, F41, F45
Measuring the benefit from reducing income inequality in terms of GDP;Simon Voigts;SFB649DP2016-008.pdf;2016;;24.02.2016;C7;D31, D63
No Role for the Hartz Reforms? Demand and Supply Factors in the German Labor Market, 1993-2014;Michael C. Burda, Stefanie Seele;SFB649DP2016-010.pdf;2016;;29.02.2016;C7;E24, J21
Cognitive Load Increases Risk Aversion;Holger Gerhardt, Guido P. Biele, Hauke R. Heekeren,Harald Uhlig;SFB649DP2016-011.pdf;2016;;03.03.2016;A12;C91, D03, D81, D87
Neighborhood Effects in Wind Farm Performance: An Econometric Approach;Matthias Ritter,Simone Pieralli, Martin Odening;SFB649DP2016-012.pdf;2016;;07.03.2016;C11+T1;"Q42; Q47"
The importance of time-varying parameters in new Keynesian models with zero lower bound;Julien Albertini, Hong Lan;SFB649DP2016-013.pdf;2016;;07.03.2016;C7;E3, J6
Aggregate Employment, Job Polarization and Inequalities: A Transatlantic Perspective;Julien Albertini, Francois Langot, Thepthida Sopraseuth, Jean Olivier Hairault;SFB649DP2016-014.pdf;2016;;07.03.2016;C7;E24, J62, J64, O33
The Anchoring of In flation Expectations in the Short and in the Long Run;Dieter Nautz, Aleksei Netsunajev, Till Strohsal;SFB649DP2016-015.pdf;2016;;18.03.2016;C14, C15;E31, E52, E58
Irrational Exuberance and Herding in Financial Markets;Christopher Boortz;SFB649DP2016-016.pdf;2016;;21.03.2016;C14;D81, D82, G12, G14
Calculating Joint Confidence Bands for Impulse Response Functions using Highest Density Regions;Helmut Lütkepohl, Anna Staszewska-Bystrova, Peter Winker;SFB649DP2016-017.pdf;2016;/papers/pdf/SFB649DP2016-017.zip;21.03.2016;C15;C32
Factorisable Sparse Tail Event Curves with Expectiles;Wolfgang K. Härdle, Chen Huang, Shih-Kang Chao;SFB649DP2016-018.pdf;2016;https://github.com/QuantLet/FASTEC-with-Expectiles;21.03.2016;B1;C38, C55, C61, C91, D87
International dynamics of inflation expectations;Aleksei Netšunajev, Lars Winkelmann;SFB649DP2016-019.pdf;2016;;03.05.2016;C14 , C15;E31, F42, E52
Academic Ranking Scales in Economics: Prediction and Imputation;Alona Zharova, Andrija Mihoci, Wolfgang Karl Härdle;SFB649DP2016-020.pdf;2016;https://github.com/QuantLet/ARR;09.05.2016;B1, Z;C14, C53, C81, M10
Pricing Kernel Modeling;Denis Belomestny, Shujie Ma, Wolfgang Karl Härdle;SFB649DP2015-001.pdf;2015;/papers/pdf/SFB649DP2015-001.zip;08.01.2015;B1;C00, C14, G12
